ID,livingSpaceIcon.svg,propertyAreaIcon.svg,descripcion,zona,localizacion,precio,bedroomIcon.svg,bathroomIcon.svg
W-047CN4,190 ㎡,425 ㎡,Chalet de nueva construcción y de alta calidad con vistas al mar y a la montaña en Colònia de Sant Pere,Noreste,Colonia de St. Pere,1.950.000 EUR,4,3
W-047FD6,138 ㎡,988 ㎡,Oportunidad única y exclusiva: La casa de sus sueños cerca del mar,Sur,Cala Blava,955.000 EUR,3,2
W-014D9E,265 ㎡,"1,77 ㏊",Encantadora finca nueva con vista panorámica,Central,Vilafranca de Bonany,1.590.000 EUR,3,3
W-02R7IN,,"1,77 ㏊",Parcela con vista panorámica y proyecto,Central,Vilafranca de Bonany,389.000 EUR,,
W-02NPDS,500 ㎡,1.009 ㎡,Exclusiva villa de diseño de nueva construcción en Son Vida,Son Vida & Palma Alrededores,Son Vida,4.995.000 EUR,4,7
W-047ITW,440 ㎡,270 ㎡,Casa histórica en el corazón de Campos,Sureste,Campos,1.500.000 EUR,3,3
W-02RT6T,,"1,78 ㏊",Terreno con proyecto y vista al mar,Noreste,Son Servera,750.000 EUR,,
W-02VILH,768 ㎡,2.231 ㎡,Exclusiva villa de nueva construcción con vistas a Palma y al mar,Son Vida & Palma Alrededores,Son Vida,5.400.000 EUR,5,5
W-02WWZ7,303 ㎡,1.033 ㎡,Villa mediterránea con mucha privacidad en una zona tranquila,Suroeste,Santa Ponsa,2.200.000 EUR,4,4
W-0476Q2,298 ㎡,8.957 ㎡,Encantadora y moderna finca con piscina,Central,Algaida,1.250.000 EUR,3,2
W-046LX8,283 ㎡,3.312 ㎡,Encantadora finca con amplios espacios y un idílico entorno exterior,Central,Sencelles,699.000 EUR,4,2
W-047GHY,268 ㎡,982 ㎡,Una joya rara en Deià — Lujo eterno con vistas infinitas al mar,Oeste,Deià,4.500.000 EUR,4,3
W-02RY75,112 ㎡,"1,43 ㏊",Finca con licencia de alquiler y vista al mar,Noreste,Porto Cristo,965.000 EUR,4,2
W-047KL7,207 ㎡,166 ㎡,Exclusiva casa de ciudad renovada con estilo mediterráneo y impresionantes áreas exteriores,Noreste,Capdepera,1.175.000 EUR,4,3
W-02RS88,,"12,48 ㏊",Moderno proyecto para una finca con viñedos y vistas al campo,Central,Inca,1.700.000 EUR,,
W-02VVFR,,"1,42 ㏊",Parcela con proyecto de construcción,Noreste,Artá,380.000 EUR,,
W-047OMT,270 ㎡,,Un Pent-House para enamorarse con una vista panorámica al mar,Palma,Genova,2.750.000 EUR,5,5
W-02WFMK,1.461 ㎡,"4,36 ㏊",Amplia finca nueva en medio de hermosa naturaleza,Noreste,San Lorenzo,7.000.000 EUR,5,5
W-02TYT7,287 ㎡,1.567 ㎡,Villa con potencial de reforma en la zona residencial de Monport,Suroeste,Port Andratx,3.250.000 EUR,4,4
W-02TUCS,206 ㎡,103 ㎡,Casa de pueblo mediterránea de ensueño en Alaró,Central,Alaró,789.000 EUR,3,4
W-046OVI,250 ㎡,1.633 ㎡,Encantadora casa con jardín mediterráneo y vistas a la montaña,Suroeste,Andratx,1.995.000 EUR,3,3
W-02T064,165 ㎡,2.000 ㎡,Chalet moderno con vistas panorámicas,Noreste,Manacor,1.180.000 EUR,3,2
W-02WZ1J,171 ㎡,,Elegante apartamento con Acabados Premium y Garaje,Palma,Paseo Marítimo,2.045.000 EUR,3,3
W-047MFV,70 ㎡,,Acogedor apartamento cerca de la playa en Arenal,Sur,Arenal,250.000 EUR,2,1
W-047KRE,94 ㎡,,Amplio piso de 4 dormitorios en la exclusiva zona de Tenis,Palma,Son Armadams,540.000 EUR,4,2
W-02ZSRM,373 ㎡,2.007 ㎡,Villa de diseño autosuficiente y muy confortable en Son Gual,Central,Son Gual,2.790.000 EUR,4,3
W-00AD8N,,"2,15 ㏊",Parcela rústica cerca del Golf Son Antem,Sur,Llucmajor,249.000 EUR,,
W-047BP3,48 ㎡,,Apartamento reformado en Paseo Marítimo de Palma,Palma,Paseo Marítimo,550.000 EUR,1,1
W-02PYBE,344 ㎡,2.126 ㎡,Villa en Sa Planera con vistas impresionantes de la Serra de Tramuntana,Central,Marratxi,2.400.000 EUR,5,4
W-02XR96,1.148 ㎡,2.349 ㎡,Villa clásica con fantásticas vistas al mar en Son Vida,Son Vida & Palma Alrededores,Son Vida,9.800.000 EUR,5,5
W-047I6N,94 ㎡,,Elegante vivienda reformada en el corazón de Can Bárbara,Palma,El Terreno,730.000 EUR,2,2
W-02EMPX,958 ㎡,"2,57 ㏊",Idílica casa de campo en Alaró con vistas únicas,Central,Alaró,8.400.000 EUR,7,7
W-047MKB,123 ㎡,,PUERTO BLANCO – Casa adosada moderna con estilo mediterráneo,Suroeste,Port Andratx,3.580.000 EUR,4,3
W-046JE2,234 ㎡,119 ㎡,Adosado de nueva construcción con vistas y piscina en Montuïri,Central,Montuiri,1.795.000 EUR,4,4
W-02Z5ZC,485 ㎡,486 ㎡,Moderna Villa en Son Puig con Vistas Panorámicas,Son Vida & Palma Alrededores,Palma Golf,1.980.000 EUR,5,4
W-02P1WC,316 ㎡,816 ㎡,Elegante villa reformada en una ubicación privilegiada de Nova Santa Ponsa,Suroeste,Santa Ponsa,4.750.000 EUR,4,3
W-02XSQ5,,"1,97 ㏊",Maravilloso proyecto para construir la finca de sus sueños en Mallorca – con vistas a la Sierra de Tramuntana,Norte,Campanet,435.000 EUR,,
W-047LM5,140 ㎡,,Ático con vistas al mar y piscina privada en la azotea,Suroeste,Cala Major,3.600.000 EUR,3,4
W-02W3B0,500 ㎡,"1,52 ㏊",Un oasis de tranquilidad cerca de Palma,Son Vida & Palma Alrededores,Establiments,5.250.000 EUR,4,6
W-046T5M,93 ㎡,,Luminoso y acogedor piso con piscina comunitaria en Alaró,Central,Alaró,350.000 EUR,3,2
W-046ZZZ,159 ㎡,616 ㎡,Encanto mediterráneo con privacidad y vistas al mar,Sur,Cala Pi,1.050.000 EUR,3,2
W-047LD9,240 ㎡,3.742 ㎡,Amplia finca en terreno urbano cerca de Palma,Son Vida & Palma Alrededores,Son Sardina,2.400.000 EUR,6,4
W-046V0Z,260 ㎡,350 ㎡,Encantadora casa de 3 dormitorios en Petit Deià,Oeste,Deià,1.500.000 EUR,3,4
W-047KWW,,2.700 ㎡,Parcela edificable con magníficas vistas panorámicas en la mejor ubicación de Alaró,Central,Alaró,650.000 EUR,,
W-02PSL1,520 ㎡,"3,01 ㏊",Tu Paraíso Privado: Donde la Elegancia Atemporal se Encuentra con el Lujo Sostenible,Central,Santa María,6.500.000 EUR,5,5
W-02W804,393 ㎡,289 ㎡,Fantástica casa de pueblo para estrenar en Sineu,Central,Sineu,2.590.000 EUR,4,5
W-02YJUQ,87 ㎡,,Ático reformado con vistas al mar,Sur,Cala Pi,495.000 EUR,2,1
W-02YKBR,142 ㎡,,Planta baja a pocos metros de la playa,Palma,Portixol & Molinar,945.000 EUR,3,2
W-047I8O,668 ㎡,1.522 ㎡,Verdemar: Villa de obra nueva de primera clase a pocos metros de la playa,Suroeste,Cala Vinyes,3.700.000 EUR,4,4
W-047I74,665 ㎡,1.374 ㎡,Verdemar: Villa única de nueva construcción con jardín mediterráneo y piscina,Suroeste,Cala Vinyes,3.800.000 EUR,4,4
W-047G9T,676 ㎡,1.452 ㎡,Verdemar: Impresionante villa de obra nueva con piscina propia en una ubicación tranquila,Suroeste,Cala Vinyes,3.900.000 EUR,4,4
W-02M6T7,624 ㎡,2.000 ㎡,Villa moderna con vistas al mar en Son Vida,Son Vida & Palma Alrededores,Son Vida,7.900.000 EUR,6,6
W-025XEC,422 ㎡,1.042 ㎡,Villa exclusiva para las más altas exigencias,Suroeste,Port Andratx,7.350.000 EUR,5,4
W-047JHZ,94 ㎡,,Apartamento reformado con vistas al mar cerca de la playa,Sur,Arenal,650.000 EUR,2,2
W-046O6G,126 ㎡,,Elegante apartamento con vistas espectaculares en ubicación privilegiada!,Palma,Palma Catedral - Casco Antiguo,1.495.000 EUR,2,2
W-046N52,178 ㎡,390 ㎡,Villa moderna con piscina cerca de la playa,Sureste,Cala Murada,980.000 EUR,3,3
W-030SS5,310 ㎡,220 ㎡,Amplia casa de pueblo con patio interior en Sencelles,Central,Sencelles,639.000 EUR,5,2
W-02WK8S,426 ㎡,616 ㎡,Elegancia y confort cerca de Palma,Central,Marratxi,1.990.000 EUR,4,6
W-047LG5,102 ㎡,,Ático de nueva construcción con amplia terraza en primera línea de mar,Noreste,Colonia de St. Pere,1.495.000 EUR,2,2
W-030U5R,102 ㎡,,Exclusivo ático en primera línea de mar con amplias terrazas,Palma,Playa de Palma & Arenal,1.595.000 EUR,3,2
W-046YZF,288 ㎡,981 ㎡,Villa con vistas al mar en una ubicación privilegiada con proyecto de construcción aprobado,Suroeste,Port Andratx,8.000.000 EUR,5,4
W-02S9H5,133 ㎡,8.366 ㎡,Auténtica finca rústica con licencia ETV,Sur,Llucmajor,749.000 EUR,2,2
W-047DYV,264 ㎡,6.358 ㎡,Dos siglos de historia: un espacio donde el encanto patrimonial se fusiona con el diseño moderno,Central,Llubí,570.000 EUR,2,2
W-04723A,160 ㎡,,Exclusiva vivienda de diseño con vistas panorámicas en la Bonanova,Palma,La Bonanova,1.800.000 EUR,2,2
W-02TD7X,435 ㎡,303 ㎡,Excelente oportunidad en Sa Pobla – Casa de pueblo totalmente reformada con licencia de alquiler vacacional,Norte,Sa Pobla,1.050.000 EUR,6,4
W-030K6V,220 ㎡,240 ㎡,Amplia casa de pueblo con piscina y vistas panorámicas a la montaña,Central,Maria de la Salut,1.290.000 EUR,5,3
W-02VCHE,256 ㎡,135 ㎡,La esencia de Mallorca: Hogar en el centro de Sineu,Central,Sineu,350.000 EUR,4,3
W-02UARK,769 ㎡,2.400 ㎡,Villa de lujo frente al mar – propiedad mediterránea en Costa de la Calma,Suroeste,Costa de la Calma,6.950.000 EUR,7,7
W-02ZHWR,131 ㎡,423 ㎡,Pareado moderno con vistas al mar,Sur,Tolleric,1.095.000 EUR,3,2
W-0474UP,670 ㎡,2.500 ㎡,Elegante villa completamente renovada con amplio jardín,Son Vida & Palma Alrededores,Palmanyola,5.600.000 EUR,5,5
W-046V2Y,380 ㎡,820 ㎡,Espaciosa casa unifamiliar con mucho espacio y comodidad,Palma,Playa de Palma & Arenal,2.570.000 EUR,7,5
W-047BCQ,100 ㎡,,"Luz, vistas y potencial en uno de los barrios más demandados de Palma",Palma,Son Espanyolet,575.000 EUR,3,2
W-047F72,406 ㎡,3.070 ㎡,Extravagante villa con magníficas vistas en Bunyola,Central,Bunyola,2.850.000 EUR,3,4
W-046Y4X,157 ㎡,580 ㎡,Villa exclusiva con impresionantes vistas al mar y máxima privacidad,Suroeste,Port Andratx,4.250.000 EUR,4,4
W-02XPOQ,102 ㎡,,"Encantador apartamento con licencia de alquiler vacacional, Puerto Pollensa",Norte,Puerto Pollensa,525.000 EUR,3,2
W-047FFH,82 ㎡,,Moderno apartamento en planta baja con mucho encanto histórico cerca de Las Rambla,Palma,Palma Catedral - Casco Antiguo,595.000 EUR,2,2
W-02XA3O,119 ㎡,,Dúplex en Nova Santa Ponsa con vistas al mar,Suroeste,Santa Ponsa,895.000 EUR,3,2
W-02TVZH,288 ㎡,195 ㎡,Preciosa casa de pueblo reformada con piscina,Central,Pina,1.190.000 EUR,3,3
W-02WG2X,500 ㎡,4 ㏊,Propiedad única cerca de Artá,Noreste,Artá,6.750.000 EUR,6,6
W-047DW0,116 ㎡,,"Luminoso apartamento con piscina comunitaria junto al lago, Puerto Alcúdia",Norte,Puerto Alcudia,418.500 EUR,3,2
W-02ITLW,486 ㎡,304 ㎡,Casa de pueblo cuidadosamente restaurada en Felanitx con licencia de alquiler,Sureste,Felanitx,1.950.000 EUR,5,4
W-046IEO,150 ㎡,214 ㎡,Casa de pueblo con vistas de ensueño en el centro de Campanet,Norte,Campanet,675.000 EUR,3,3
W-00AFTQ,115 ㎡,,Bonito ático en Son Caliu muy cerca de la playa,Suroeste,Palmanova,895.000 EUR,4,2
W-02KGKZ,411 ㎡,645 ㎡,Moderna casa autosuficiente en Marratxi,Central,Marratxi,1.095.000 EUR,6,5
W-009XPL,432 ㎡,387 ㎡,Villa de lujo a pie del puerto Cala Figuera,Sureste,Cala Figuera,2.950.000 EUR,3,4
W-02AKFP,72 ㎡,,Apartamento con vistas al mar en Puerto Portals,Suroeste,Portals,1.095.000 EUR,2,1
W-047DEH,237 ㎡,761 ㎡,Villa con mucho potencial y vistas al mar,Suroeste,Costa d'en Blanes,3.000.000 EUR,4,5
W-0472LI,370 ㎡,,Dos viviendas con encanto excepcional y gran potencial,Palma,Palma City Centre,1.600.000 EUR,5,3
W-02QJMS,299 ㎡,881 ㎡,Encuentro familiar: Villa luminosa con vistas panorámicas al mar,Noreste,Font de Sa Cala,2.190.000 EUR,5,5
W-02ZCOM,625 ㎡,"232,22 ㏊",Auténtica possessió mallorquina con vistas panorámicas al mar – una finca histórica con alma y potencial,Suroeste,Calvià,8.500.000 EUR,,
W-0476L6,233 ㎡,,"Apartamento de alta calidad, elegante, con ascensor y parking",Palma,Palma Catedral - Casco Antiguo,3.300.000 EUR,3,3
W-04795T,104 ㎡,,Apartamento soleado con vistas al mar y terraza privada en la azotea,Suroeste,Santa Ponsa,825.000 EUR,2,2
W-030P99,220 ㎡,240 ㎡,Encantadora y Renovada Casa de Pueblo en Biniali,Central,Biniali,1.400.000 EUR,3,2
W-0477V4,380 ㎡,1.208 ㎡,"Villa moderna en Santa Ponsa con amplio jardín, piscina y total privacidad",Suroeste,Santa Ponsa,3.600.000 EUR,4,3
W-047EC8,146 ㎡,675 ㎡,"Tradicional villa mallorquina con piscina y licencia ETV en una ubicación privilegiada en Alcudia, Mallorca",Norte,Alcudia - Bonaire,975.000 EUR,3,2
W-02QZ91,531 ㎡,4.119 ㎡,Villa aislada rodeada por la naturaleza en Son Vida,Son Vida & Palma Alrededores,Son Vida,6.950.000 EUR,4,3
W-047DAT,136 ㎡,,Residencia renovada excepcional con azotea privada en el Paseo Marítimo,Palma,Paseo Marítimo,1.750.000 EUR,3,3
W-04781C,52 ㎡,,"¡Más cerca de la playa, imposible!",Norte,Alcudia,465.000 EUR,2,1
W-02VL8I,341 ㎡,"1,74 ㏊",Tranquila casa de campo a estrenar en Montuïri,Central,Montuiri,2.300.000 EUR,4,4
W-00AI4S,159 ㎡,300 ㎡,Casa adosada bien mantenida con vistas,Central,Moscari,495.000 EUR,3,2
W-02VGNU,395 ㎡,368 ㎡,"Selecta, moderna casa con encanto tradicional en Campanet",Norte,Campanet,2.500.000 EUR,4,4
W-02Z1RB,132 ㎡,,"Súper adosado de cinco dormitorios, a solo 100 metros de la Playa de Muro",Norte,Playa de Muro,825.000 EUR,5,3
W-047CC7,140 ㎡,,Ático luminoso con vistas al mar y gran potencial,Palma,Playa de Palma & Arenal,669.000 EUR,4,2
W-02X9PH,220 ㎡,,Ático excepcional con amplias terrazas y vistas incomparables,Palma,Palma Catedral - Casco Antiguo,3.650.000 EUR,3,4
W-02W1TK,370 ㎡,3 ㏊,Finca de ensueño en Llucmajor con licencia ETV,Sur,Llucmajor,2.980.000 EUR,5,5
W-02X6QU,92 ㎡,,Apartamento reformado con licencia ETV,Sur,Cala Pi,365.000 EUR,2,2
W-0477RU,140 ㎡,770 ㎡,Villa moderna con piscina climatizada y equipamiento de alta calidad,Sureste,Cala Murada,1.280.000 EUR,3,2
W-0469JC,215 ㎡,"1,49 ㏊",Encantadora finca con vistas lejanas al mar y gran potencial en Santa Margalida.,Norte,Santa Margalida,1.450.000 EUR,3,3
W-04722N,160 ㎡,723 ㎡,Su paraíso privado: Encantador bungalow con oasis de bienestar,Sur,Bahía Grande / Bahía Azul,695.000 EUR,3,2
W-0475VD,199 ㎡,163 ㎡,El encanto del siglo XIX se une al confort moderno,Central,Selva,1.535.000 EUR,3,2
W-046XER,83 ㎡,,Ático exclusivo en un moderno complejo residencial en las afueras norte de Palma,Central,Mallorca Central - Es Rafal,490.000 EUR,3,2
W-02B0BI,520 ㎡,1.331 ㎡,Impresionante villa en una ubicación privilegiada en Nova Santa Ponsa,Suroeste,Santa Ponsa,6.300.000 EUR,5,4
W-0475DS,399 ㎡,"2,38 ㏊",Casa de diseño única en zona tranquila,Sureste,Ses Salines,5.450.000 EUR,5,5
W-0463CD,115 ㎡,,Impresionante apartamento en primera línea de mar,Suroeste,Costa de la Calma,1.995.000 EUR,3,2
W-047DEU,200 ㎡,4.810 ㎡,Casa adosada en esquina con vista panorámica de ensueño sobre Canyamel – vista al mar y cerca de la playa,Noreste,Canyamel,790.000 EUR,3,2
W-047E6N,353 ㎡,207 ㎡,Palacio urbano único en una ubicación popular de Artà: proyecto de remodelación aprobado,Noreste,Artá,970.000 EUR,5,6
W-04724I,393 ㎡,"2,33 ㏊",Auténtica finca de nueva construcción cerca del mar y en ubicación excepcional en Porto Petro,Sureste,Portopetro,4.250.000 EUR,5,4
W-046TF0,66 ㎡,,Apartamento moderno con terraza privada y ascensor,Palma,Palma Catedral - Casco Antiguo,625.000 EUR,2,1
W-02TLOM,477 ㎡,1.100 ㎡,Villa moderna con vistas espectaculares al mar y a la bahía,Suroeste,Costa d'en Blanes,3.900.000 EUR,4,3
W-02VF9A,433 ㎡,,Encantadora casa con licencia de alquiler vacacional en Pollensa,Norte,Pollensa,2.200.000 EUR,5,5
W-02S985,550 ㎡,"1,36 ㏊",Finca de lujo en Santa María: Una obra maestra de diseño moderno y encanto rústico,Central,Santa María,7.500.000 EUR,6,7
W-0476NE,546 ㎡,953 ㎡,Villa de lujo – recién construida en 2025 con calidades excepcionales,Suroeste,Bendinat,8.450.000 EUR,5,6
W-02Q18P,481 ㎡,"2,89 ㏊","Casa de campo histórica renovada con piscina, privacidad y carácter atemporal",Central,Llubí,2.950.000 EUR,4,4
W-02YMSA,396 ㎡,2.001 ㎡,Moderna Villa con Vistas a la Bahía de Palma,Central,Son Gual,2.640.000 EUR,4,3
W-030VD7,434 ㎡,309 ㎡,Elegante casa de pueblo de tres pisos - Terraza con vistas al castillo - Patio con piscina,Noreste,Artá,1.985.000 EUR,3,2
W-02XYUC,705 ㎡,1.326 ㎡,Villa única de nueva construcción con vistas al mar en Palma,Palma,La Bonanova,9.900.000 EUR,5,3
W-02TZF4,160 ㎡,,Penthouse dúplex con terraza y mucho espacio para la creatividad,Palma,Palma Catedral - Casco Antiguo,1.650.000 EUR,4,2
W-0479YA,156 ㎡,54 ㎡,Encantadora casa de pueblo con vistas panorámicas a la bahía de Alcudia,Central,Selva,420.000 EUR,2,1
W-02Z5BO,374 ㎡,1.893 ㎡,Encantadora villa con Licencia Vacacional en Mancor de la Vall,Central,Mancor del Valle,1.350.000 EUR,3,2
W-047D78,,1.390 ㎡,Solar con proyecto de villa aprobado y vistas al mar en Camp de Mar,Suroeste,Camp de Mar,3.950.000 EUR,,
W-046GUF,303 ㎡,2.100 ㎡,Encantadora villa cerca de la playa en Costa de la Calma,Suroeste,Costa de la Calma,3.450.000 EUR,5,4
W-030PPW,477 ㎡,11.967 ㎡,Majestuosa finca rústica cerca de Palma,Central,Son Ferriol,970.000 EUR,5,3
W-047AOS,106 ㎡,,Apartamento a pocos pasos de la playa en Puerto de Alcudia,Norte,Alcudia,415.000 EUR,3,2
W-0470XB,90 ㎡,,Apartamento de lujo con piscina y spa comunitarios en un moderno complejo residencial,Palma,Palma City Centre,995.000 EUR,2,2
W-02ZWSI,192 ㎡,134 ㎡,Casa exclusiva en el pueblo de Alaró con piscina y vistas impresionantes a las montañas,Central,Alaró,995.000 EUR,3,2
W-046AGN,240 ㎡,"1,48 ㏊",Estilo de vida mediterráneo en Muro,Norte,Muro,1.850.000 EUR,5,4
W-0473ZH,,"2,85 ㏊","Único proyecto rústico en Llucmajor, ubicado en la tranquila zona de Vista Alegre.",Sur,Llucmajor,599.000 EUR,,
W-046QO6,,"1,71 ㏊",Terreno con proyecto de casa de campo mediterránea con vistas a la montaña y al pueblo,Central,Moscari,790.000 EUR,,
W-046YNX,511 ㎡,"1,71 ㏊",Auténtica casa rural mediterránea con vistas a las montañas y al pueblo,Central,Moscari,2.900.000 EUR,4,5
W-046QO1,673 ㎡,"3,62 ㏊",Finca de diseño sofisticado con vistas a la montaña y hasta la Bahía de Alcúdia,Central,Moscari,4.950.000 EUR,4,4
W-02NQDS,832 ㎡,"1,98 ㏊",Donde el diseño contemporáneo se funde en armonía con el paisaje mediterráneo,Central,Moscari,3.950.000 EUR,5,5
W-02ZEN5,392 ㎡,2.024 ㎡,Oportunidad única para invertir en proyecto de lujo,Central,Son Gual,4.300.000 EUR,4,3
W-0464E0,221 ㎡,196 ㎡,Impresionante casa adosada en el corazón de Pollensa – ¡Vivienda de lujo y oportunidad de inversión!,Norte,Pollensa,1.975.000 EUR,4,5
W-02SB7Y,306 ㎡,"1,48 ㏊",Exclusiva finca con piscina en Llucmajor,Sur,Llucmajor,1.295.000 EUR,4,4
W-0461ZY,211 ㎡,607 ㎡,Pareado cerca del mar con licencia ETV,Sur,Cala Blava,1.350.000 EUR,3,2
W-02XSTE,87 ㎡,352 ㎡,"Villas de nueva construcción en una urbanización de lujo exclusiva, Puerto Alcudia",Norte,Puerto Alcudia - Alcanada,895.000 EUR,3,2
W-02XSTL,87 ㎡,403 ㎡,"Villas de nueva construcción en una urbanización de lujo exclusiva, Puerto Alcúdia",Norte,Puerto Alcudia - Alcanada,875.000 EUR,3,2
W-02XSTS,87 ㎡,374 ㎡,"Villas de nueva construcción en una urbanización de lujo exclusiva, Puerto Alcúdia",Norte,Puerto Alcudia,885.000 EUR,3,2
W-02XSUB,87 ㎡,305 ㎡,"Villas de nueva construcción en una urbanización de lujo exclusiva, Puerto Alcúdia",Norte,Puerto Alcudia - Alcanada,795.000 EUR,3,2
W-02XSUD,87 ㎡,436 ㎡,"Villas de nueva construcción en una urbanización de lujo exclusiva, Puerto Alcúdia",Norte,Puerto Alcudia - Alcanada,895.000 EUR,3,2
W-046CYG,350 ㎡,600 ㎡,"Excepcional hogar bañado de luz, Alcudia - Bonaire",Norte,Alcudia - Bonaire,1.750.000 EUR,4,5
