habitaciones,banos,zona,localizacion,precio,superficie_construida_m2,superficie_parcela_m2
5,3,Central,Maria de la Salut,1290000.0,220.0,240.0
4,3,Central,Sineu,350000.0,256.0,135.0
7,7,Suroeste,Costa de la Calma,6950000.0,769.0,2400.0
3,2,Sur,Tolleric,1095000.0,131.0,423.0
5,5,Son Vida & Palma Alrededores,Palmanyola,5600000.0,670.0,2500.0
7,5,Palma,Playa de Palma & Arenal,2570000.0,380.0,820.0
3,2,Palma,Son Espanyolet,575000.0,100.0,0.0
3,4,Central,Bunyola,2850000.0,406.0,3070.0
4,4,Suroeste,Port Andratx,4250000.0,157.0,580.0
3,2,Norte,Puerto Pollensa,525000.0,102.0,0.0
2,2,Palma,Palma Catedral - Casco Antiguo,595000.0,82.0,0.0
3,2,Suroeste,Santa Ponsa,895000.0,119.0,0.0
3,3,Central,Pina,1190000.0,288.0,195.0
6,6,Noreste,Artá,6750000.0,500.0,40000.0
3,2,Norte,Puerto Alcudia,418500.0,116.0,0.0
5,4,Sureste,Felanitx,1950000.0,486.0,304.0
3,3,Norte,Campanet,675000.0,150.0,214.0
4,2,Suroeste,Palmanova,895000.0,115.0,0.0
6,5,Central,Marratxi,1095000.0,411.0,645.0
3,4,Sureste,Cala Figuera,2950000.0,432.0,387.0
2,1,Suroeste,Portals,1095000.0,72.0,0.0
4,5,Suroeste,Costa d'en Blanes,3000000.0,237.0,761.0
5,3,Palma,Palma City Centre,1600000.0,370.0,0.0
5,5,Noreste,Font de Sa Cala,2190000.0,299.0,881.0
0,0,Suroeste,Calvià,8500000.0,625.0,2322200.0
3,3,Palma,Palma Catedral - Casco Antiguo,3300000.0,233.0,0.0
2,2,Suroeste,Santa Ponsa,825000.0,104.0,0.0
3,2,Central,Biniali,1400000.0,220.0,240.0
4,3,Suroeste,Santa Ponsa,3600000.0,380.0,1208.0
3,2,Norte,Alcudia - Bonaire,975000.0,146.0,675.0
4,3,Son Vida & Palma Alrededores,Son Vida,6950000.0,531.0,4119.0
3,3,Palma,Paseo Marítimo,1750000.0,136.0,0.0
2,1,Norte,Alcudia,465000.0,52.0,0.0
4,4,Central,Montuiri,2300000.0,341.0,17400.0
3,2,Central,Moscari,495000.0,159.0,300.0
4,4,Norte,Campanet,2500000.0,395.0,368.0
5,3,Norte,Playa de Muro,825000.0,132.0,0.0
4,2,Palma,Playa de Palma & Arenal,669000.0,140.0,0.0
3,4,Palma,Palma Catedral - Casco Antiguo,3650000.0,220.0,0.0
5,5,Sur,Llucmajor,2980000.0,370.0,30000.0
2,2,Sur,Cala Pi,365000.0,92.0,0.0
3,2,Sureste,Cala Murada,1280000.0,140.0,770.0
3,3,Norte,Santa Margalida,1450000.0,215.0,14900.0
3,2,Sur,Bahía Grande / Bahía Azul,695000.0,160.0,723.0
3,2,Central,Selva,1535000.0,199.0,163.0
3,2,Central,Mallorca Central - Es Rafal,490000.0,83.0,0.0
5,4,Suroeste,Santa Ponsa,6300000.0,520.0,1331.0
5,5,Sureste,Ses Salines,5450000.0,399.0,23800.0
3,2,Suroeste,Costa de la Calma,1995000.0,115.0,0.0
3,2,Noreste,Canyamel,790000.0,200.0,4810.0
5,6,Noreste,Artá,970000.0,353.0,207.0
5,4,Sureste,Portopetro,4250000.0,393.0,23300.0
2,1,Palma,Palma Catedral - Casco Antiguo,625000.0,66.0,0.0
4,3,Suroeste,Costa d'en Blanes,3900000.0,477.0,1100.0
5,5,Norte,Pollensa,2200000.0,433.0,0.0
6,7,Central,Santa María,7500000.0,550.0,13600.0
5,6,Suroeste,Bendinat,8450000.0,546.0,953.0
4,4,Central,Llubí,2950000.0,481.0,28900.0
4,3,Central,Son Gual,2640000.0,396.0,2001.0
3,2,Noreste,Artá,1985000.0,434.0,309.0
5,3,Palma,La Bonanova,9900000.0,705.0,1326.0
4,2,Palma,Palma Catedral - Casco Antiguo,1650000.0,160.0,0.0
2,1,Central,Selva,420000.0,156.0,54.0
3,2,Central,Mancor del Valle,1350000.0,374.0,1893.0
0,0,Suroeste,Camp de Mar,3950000.0,0.0,1390.0
5,4,Suroeste,Costa de la Calma,3450000.0,303.0,2100.0
5,3,Central,Son Ferriol,970000.0,477.0,11967.0
3,2,Norte,Alcudia,415000.0,106.0,0.0
2,2,Palma,Palma City Centre,995000.0,90.0,0.0
3,2,Central,Alaró,995000.0,192.0,134.0
5,4,Norte,Muro,1850000.0,240.0,14800.0
0,0,Sur,Llucmajor,599000.0,0.0,28500.0
0,0,Central,Moscari,790000.0,0.0,17100.0
4,5,Central,Moscari,2900000.0,511.0,17100.0
4,4,Central,Moscari,4950000.0,673.0,36200.0
5,5,Central,Moscari,3950000.0,832.0,19800.0
4,3,Central,Son Gual,4300000.0,392.0,2024.0
4,5,Norte,Pollensa,1975000.0,221.0,196.0
4,4,Sur,Llucmajor,1295000.0,306.0,14800.0
3,2,Sur,Cala Blava,1350000.0,211.0,607.0
3,2,Norte,Puerto Alcudia - Alcanada,895000.0,87.0,352.0
3,2,Norte,Puerto Alcudia - Alcanada,875000.0,87.0,403.0
3,2,Norte,Puerto Alcudia,885000.0,87.0,374.0
3,2,Norte,Puerto Alcudia - Alcanada,795000.0,87.0,305.0
3,2,Norte,Puerto Alcudia - Alcanada,895000.0,87.0,436.0
4,5,Norte,Alcudia - Bonaire,1750000.0,350.0,600.0
3,2,Sur,Cala Pi,860000.0,153.0,400.0
7,4,Sur,Cala Blava,1200000.0,350.0,800.0
4,3,Noreste,Artá,1750000.0,220.0,142.0
1,1,Palma,Palma Catedral - Casco Antiguo,470000.0,74.0,0.0
3,3,Norte,Puerto Pollensa,795000.0,115.0,0.0
5,4,Central,Selva,2500000.0,586.0,4182.0
2,2,Suroeste,Portals,1295000.0,60.0,0.0
0,0,Son Vida & Palma Alrededores,Son Vida,2250000.0,0.0,2350.0
5,5,Central,Santa María,,580.0,16900.0
5,3,Central,Inca,2300000.0,435.0,37600.0
17,12,Sureste,Cala d'Or,3600000.0,545.0,2800.0
6,6,Sureste,Cala d'Or,1200000.0,240.0,1800.0
4,3,Palma,Playa de Palma & Arenal,1397000.0,150.0,0.0
3,1,Palma,Palma City Centre,680000.0,150.0,0.0
4,3,Central,Sencelles,1650000.0,264.0,43600.0
4,2,Palma,Portixol & Molinar,1890000.0,135.0,0.0
4,3,Noreste,San Lorenzo,1650000.0,226.0,1050.0
3,3,Palma,Portixol & Molinar,3250000.0,153.0,0.0
2,1,Suroeste,Illetas,698000.0,87.0,0.0
5,4,Sureste,Cala d'Or,4900000.0,453.0,1600.0
3,2,Palma,Palma Catedral - Casco Antiguo,950000.0,105.0,0.0
3,3,Noreste,Artá,745000.0,265.0,197.0
3,4,Son Vida & Palma Alrededores,Son Vida,6800000.0,500.0,2137.0
5,7,Son Vida & Palma Alrededores,Son Vida,12900000.0,1010.0,2000.0
7,6,Central,Inca,1550000.0,475.0,8147.0
4,4,Norte,Muro,1100000.0,237.0,286.0
3,2,Norte,Puerto Alcudia - Alcanada,460000.0,90.0,0.0
4,4,Central,Maria de la Salut,1990000.0,347.0,15400.0
4,4,Suroeste,Santa Ponsa,3900000.0,323.0,1510.0
2,2,Suroeste,Bendinat,1100000.0,115.0,0.0
9,9,Norte,Formentor,,587.0,4600.0
10,5,Oeste,Fornalutx,5000000.0,965.0,20200.0
0,0,Son Vida & Palma Alrededores,Puigpunyent & Galilea,290000.0,0.0,1579.0
5,4,Norte,Pollensa,4200000.0,386.0,1943.0
0,0,Sur,Llucmajor,795000.0,0.0,17800.0
0,0,Central,Petra,1100000.0,0.0,244300.0
3,3,Central,Biniamar,740000.0,247.0,155.0
3,2,Central,Biniamar,690000.0,151.0,155.0
4,2,Palma,Son Espanyolet,2290000.0,178.0,178.0
4,3,Norte,Pollensa,1450000.0,220.0,0.0
3,2,Norte,Pollensa,520000.0,122.0,60.0
6,6,Sureste,Santanyí,7800000.0,717.0,30000.0
4,3,Central,S'Aranjassa,2495000.0,263.0,8187.0
4,4,Sureste,Cala d'Or,1960000.0,471.0,1433.0
3,3,Sur,Bahía Grande / Bahía Azul,840000.0,155.0,412.0
7,5,Central,Petra,2900000.0,448.0,24700.0
3,2,Oeste,Puerto de Sóller,1380000.0,151.0,0.0
0,0,Son Vida & Palma Alrededores,Son Vida,1500000.0,0.0,2044.0
0,0,Son Vida & Palma Alrededores,Son Vida,1400000.0,0.0,2561.0
4,4,Central,Moscari,3900000.0,539.0,21000.0
2,3,Palma,Son Espanyolet,675000.0,129.0,0.0
3,3,Central,Caimari,1080000.0,246.0,163.0
5,4,Central,Inca,1800000.0,446.0,12600.0
1,1,Suroeste,Bendinat,595000.0,62.0,0.0
0,0,Son Vida & Palma Alrededores,Son Vida,10100000.0,0.0,2615.0
2,2,Son Vida & Palma Alrededores,Palma Golf,1500000.0,139.0,0.0
2,2,Son Vida & Palma Alrededores,Palma Golf,890000.0,120.0,0.0
3,3,Son Vida & Palma Alrededores,Palma Golf,2700000.0,251.0,0.0
2,2,Suroeste,Port Andratx,1590000.0,89.0,0.0
4,2,Central,Alaró,775000.0,183.0,2416.0
3,1,Oeste,Fornalutx,690000.0,180.0,57.0
4,3,Central,S'Aranjassa,2495000.0,263.0,8187.0
3,2,Norte,Campanet,1090000.0,200.0,217.0
2,2,Sureste,Santanyí,3900000.0,568.0,12400.0
3,2,Palma,Son Espanyolet,2250000.0,174.0,128.0
3,2,Palma,Son Espanyolet,2600000.0,190.0,132.0
2,1,Palma,Palma Catedral - Casco Antiguo,575000.0,58.0,0.0
1,1,Palma,Santa Catalina,490000.0,58.0,0.0
4,2,Sur,Arenal,540000.0,140.0,0.0
8,9,Oeste,Estellencs,2600000.0,511.0,292.0
3,2,Sur,Arenal,590000.0,140.0,0.0
4,2,Palma,Palma City Centre,645000.0,123.0,0.0
3,2,Palma,Palma Catedral - Casco Antiguo,1495000.0,170.0,0.0
4,3,Noreste,Canyamel,1290000.0,315.0,1827.0
2,2,Sur,Llucmajor,625000.0,97.0,1862.0
2,2,Suroeste,Port Andratx,1580000.0,92.0,0.0
5,6,Suroeste,Portals,10900000.0,464.0,1200.0
7,7,Central,Santa María,,642.0,28400.0
4,4,Oeste,Deià,1900000.0,212.0,178.0
2,2,Palma,Palma Catedral - Casco Antiguo,3800000.0,164.0,0.0
1,1,Suroeste,Cas Catalá,575000.0,73.0,0.0
5,2,Oeste,Sóller,1425000.0,430.0,0.0
3,3,Suroeste,Paguera,2850000.0,265.0,1125.0
3,2,Central,Moscari,995000.0,280.0,3267.0
3,2,Palma,Palma Catedral - Casco Antiguo,3950000.0,187.0,0.0
3,3,Palma,Palma Catedral - Casco Antiguo,2600000.0,120.0,0.0
0,0,Norte,Puerto Alcudia - Alcanada,2400000.0,0.0,612.0
5,5,Sureste,Cas Concos,4500000.0,595.0,19300.0
3,3,Sur,Las Palmeras,859000.0,144.0,320.0
3,2,Son Vida & Palma Alrededores,Palma Golf,1250000.0,143.0,0.0
6,3,Oeste,Deià,13500000.0,2814.0,0.0
10,0,Norte,Sa Pobla,2500000.0,520.0,0.0
13,9,Noreste,Manacor,9500000.0,666.0,68200.0
2,2,Suroeste,Cala Vinyes,650000.0,123.0,0.0
4,4,Norte,Alcudia - Bonaire,2795000.0,259.0,1320.0
5,4,Noreste,Manacor,3975000.0,500.0,30000.0
3,2,Sur,Llucmajor,699000.0,126.0,8392.0
3,2,Palma,Palma Catedral - Casco Antiguo,895000.0,135.0,0.0
4,3,Central,Consell,1650000.0,310.0,429.0
4,3,Noreste,Manacor,1290000.0,215.0,21300.0
3,2,Central,Costitx,680000.0,130.0,8900.0
3,3,Central,Costitx,1480000.0,400.0,4614.0
3,4,Palma,Son Espanyolet,1320000.0,130.0,0.0
4,4,Noreste,Cala Ratjada,2300000.0,218.0,480.0
5,5,Suroeste,Sol de Mallorca,6950000.0,664.0,1718.0
0,0,Sureste,Campos,875000.0,0.0,68600.0
0,0,Sureste,Campos,895000.0,0.0,82500.0
0,0,Sureste,Campos,875000.0,0.0,49600.0
5,5,Sur,Cala Blava,1295000.0,307.0,720.0
5,2,Noreste,Cala Ratjada,1350000.0,202.0,707.0
4,4,Central,Sencelles,1495000.0,216.0,7711.0
2,2,Palma,Palma Catedral - Casco Antiguo,595000.0,86.0,0.0
5,5,Central,Montuiri,5900000.0,718.0,16000.0
3,3,Central,Alaró,1995000.0,234.0,3432.0
4,3,Central,Sencelles,1300000.0,423.0,1655.0
2,1,Palma,Palma Catedral - Casco Antiguo,595000.0,112.0,0.0
3,2,Palma,Palma Catedral - Casco Antiguo,1395000.0,167.0,0.0
3,2,Central,Santa María,550000.0,139.0,254.0
3,2,Central,Santa Eugenia,897000.0,147.0,2723.0
3,2,Son Vida & Palma Alrededores,Puigpunyent & Galilea,435000.0,116.0,0.0
1,1,Palma,Palma Catedral - Casco Antiguo,385000.0,48.0,0.0
5,5,Central,Puntiró,4495000.0,544.0,7614.0
0,0,Central,Santa Eugenia,520000.0,0.0,450.0
4,5,Suroeste,Port Andratx,4500000.0,454.0,60000.0
3,2,Suroeste,Santa Ponsa,799000.0,104.0,0.0
5,3,Central,Sencelles,1200000.0,331.0,11998.0
2,1,Palma,El Terreno,355000.0,44.0,0.0
2,2,Suroeste,Port Andratx,1950000.0,131.0,0.0
4,3,Central,Sa Cabaneta,1190000.0,430.0,824.0
5,3,Norte,Sa Pobla,849000.0,485.0,544.0
6,6,Norte,Puerto Alcudia - Alcanada,3650000.0,961.0,26600.0
2,2,Palma,Paseo Marítimo,1050000.0,133.0,0.0
5,5,Central,Maria de la Salut,3900000.0,544.0,17200.0
5,4,Sureste,Sa Rapita,1295000.0,300.0,0.0
0,0,Norte,Can Picafort,395000.0,0.0,22000.0
2,2,Noreste,Capdepera,645000.0,89.0,0.0
0,0,Sur,Cala Blava,1950000.0,0.0,2700.0
4,4,Central,Santa María,15000000.0,599.0,40800.0
2,2,Noreste,Capdepera,625000.0,98.0,0.0
4,4,Suroeste,Bendinat,7200000.0,506.0,1034.0
2,2,Noreste,Capdepera,475000.0,89.0,0.0
3,3,Palma,Santa Catalina,850000.0,144.0,0.0
5,5,Suroeste,Port Andratx,6750000.0,410.0,1066.0
4,4,Suroeste,Cala Vinyes,3250000.0,233.0,1400.0
4,3,Sur,Cala Pi,3150000.0,240.0,812.0
1,1,Palma,Palma Catedral - Casco Antiguo,1350000.0,111.0,0.0
5,5,Sur,Puig de Ros,3600000.0,574.0,759.0
3,2,Norte,Puerto Alcudia,550000.0,86.0,0.0
3,2,Suroeste,Port Andratx,1465000.0,79.0,0.0
5,5,Noreste,Son Servera,3650000.0,421.0,33000.0
4,4,Suroeste,Santa Ponsa,9850000.0,650.0,1100.0
3,3,Sureste,Portocolom,1980000.0,232.0,114.0
5,3,Norte,Puerto Pollensa,1200000.0,200.0,5897.0
3,5,Palma,Son Armadams,4200000.0,240.0,0.0
5,5,Suroeste,Costa d'en Blanes,6950000.0,417.0,1196.0
3,2,Palma,Playa de Palma & Arenal,515000.0,78.0,0.0
4,3,Suroeste,Santa Ponsa,3250000.0,208.0,1098.0
0,0,Suroeste,Portals,6000000.0,0.0,1889.0
6,6,Suroeste,Bendinat,11900000.0,399.0,1214.0
0,0,Sureste,Campos,875000.0,0.0,21300.0
0,0,Suroeste,Andratx,7850000.0,0.0,1250.0
5,5,Suroeste,Portals,5250000.0,445.0,1084.0
5,5,Suroeste,Santa Ponsa,19950000.0,920.0,4805.0
3,2,Central,Caimari,1250000.0,201.0,172.0
3,3,Suroeste,Port Adriano,3950000.0,316.0,792.0
4,2,Norte,Muro,1650000.0,222.0,243.0
5,6,Norte,Pollensa,5500000.0,400.0,26900.0
5,2,Oeste,Valldemossa,910000.0,177.0,177.0
5,4,Palma,Paseo Marítimo,1595000.0,190.0,0.0
2,2,Noreste,Betlem,1295000.0,110.0,590.0
5,5,Son Vida & Palma Alrededores,Son Vida,7000000.0,800.0,2040.0
3,3,Oeste,Port des Canonge,1185000.0,188.0,346.0
5,5,Suroeste,Costa d'en Blanes,7950000.0,670.0,1157.0
5,5,Noreste,Costa de Los Pinos,2980000.0,304.0,1264.0
3,3,Suroeste,Port Andratx,3190000.0,176.0,0.0
4,2,Noreste,Porto Cristo Novo,2690000.0,190.0,1450.0
4,4,Son Vida & Palma Alrededores,Son Vida,4900000.0,600.0,2000.0
5,5,Central,Santa María,3000000.0,667.0,13500.0
3,2,Noreste,Canyamel,740000.0,101.0,0.0
5,6,Central,Sencelles,3500000.0,496.0,40100.0
2,2,Suroeste,Santa Ponsa,690000.0,83.0,0.0
4,6,Central,Sa Coma - Bunyola,1950000.0,425.0,1937.0
4,3,Norte,Puerto Alcudia - Alcanada,950000.0,151.0,327.0
0,0,Central,Bunyola,890000.0,0.0,44200.0
2,2,Central,Selva,430000.0,114.0,57.0
4,3,Norte,Puerto Alcudia - Alcanada,1495000.0,182.0,6582.0
4,3,Suroeste,Cas Catalá,4950000.0,377.0,840.0
4,2,Central,Algaida,900000.0,280.0,258.0
5,3,Sureste,Campos,2350000.0,175.0,9000.0
5,5,Central,Sineu,3150000.0,1407.0,199700.0
3,2,Central,Sa Coma - Bunyola,2600000.0,342.0,1826.0
0,0,Central,Sa Coma - Bunyola,715000.0,0.0,1826.0
3,3,Sureste,Felanitx,2300000.0,221.0,15600.0
2,2,Norte,Alcudia,550000.0,170.0,70.0
3,2,Suroeste,Santa Ponsa,1850000.0,103.0,0.0
3,3,Palma,Portixol & Molinar,1795000.0,160.0,0.0
3,2,Central,Petra,550000.0,107.0,91.0
4,4,Son Vida & Palma Alrededores,Establiments,1050000.0,352.0,935.0
3,2,Palma,Genova,2995000.0,160.0,195.0
4,2,Palma,Paseo Marítimo,980000.0,147.0,0.0
4,3,Noreste,Colonia de St. Pere,2300000.0,217.0,402.0
3,3,Noreste,Colonia de St. Pere,1890000.0,186.0,785.0
5,3,Palma,Genova,3200000.0,626.0,1775.0
3,2,Central,Sa Cabaneta,2800000.0,350.0,674.0
5,6,Norte,Pollensa,,581.0,2014.0
4,5,Norte,Campanet,,329.0,28100.0
2,2,Norte,Campanet,695000.0,68.0,3500.0
4,3,Sur,Sa Torre,2300000.0,281.0,1060.0
3,2,Palma,Palma Catedral - Casco Antiguo,1790000.0,137.0,0.0
7,2,Norte,Escorca,1495000.0,400.0,250000.0
4,4,Palma,Sa Teulera,1950000.0,388.0,595.0
4,3,Central,Son Gual,2420000.0,424.0,2007.0
3,3,Suroeste,Bendinat,1998000.0,183.0,0.0
0,0,Sureste,Alquería Blanca,240000.0,0.0,286.0
5,6,Son Vida & Palma Alrededores,Son Vida,6900000.0,825.0,2230.0
1,1,Palma,Palma Catedral - Casco Antiguo,385000.0,48.0,0.0
2,2,Palma,Palma Catedral - Casco Antiguo,1100000.0,81.0,0.0
1,1,Palma,Palma Catedral - Casco Antiguo,385000.0,47.0,0.0
5,4,Noreste,Port Verd,1450000.0,312.0,1013.0
4,4,Sureste,Felanitx,1925000.0,423.0,390.0
4,3,Noreste,Font de Sa Cala,1950000.0,234.0,910.0
5,4,Norte,Pollensa,6995000.0,610.0,120500.0
5,4,Noreste,Manacor,2395000.0,180.0,18400.0
3,2,Norte,Puerto Alcudia,980000.0,97.0,0.0
10,10,Sur,Llucmajor,2900000.0,642.0,18500.0
3,2,Palma,Palma Catedral - Casco Antiguo,2995000.0,310.0,0.0
2,1,Palma,Palma Catedral - Casco Antiguo,495000.0,66.0,0.0
5,4,Norte,Pollensa,2995000.0,450.0,120000.0
7,6,Central,Alaró,,495.0,80800.0
8,3,Palma,Playa de Palma & Arenal,960000.0,195.0,170.0
4,4,Central,Llubí,1575000.0,222.0,478.0
4,5,Central,Binissalem,7995000.0,575.0,47200.0
3,2,Suroeste,Bendinat,1250000.0,143.0,0.0
2,2,Suroeste,Santa Ponsa,775000.0,112.0,0.0
0,0,Central,Binissalem,2500000.0,0.0,47200.0
2,2,Palma,Palma Catedral - Casco Antiguo,895000.0,127.0,0.0
4,4,Noreste,San Lorenzo,2490000.0,210.0,14100.0
4,4,Central,Caimari,995000.0,438.0,226.0
4,3,Central,Mancor del Valle,1970000.0,321.0,478.0
3,3,Norte,Campanet,1795000.0,215.0,1184.0
0,0,Sur,Llucmajor,465000.0,0.0,18800.0
4,2,Norte,Muro,1485000.0,214.0,21200.0
1,3,Suroeste,Port Andratx,3150000.0,315.0,0.0
2,2,Palma,Playa de Palma & Arenal,429000.0,62.0,0.0
4,3,Sur,Puig de Ros,1500000.0,190.0,366.0
4,3,Norte,Pollensa,495000.0,93.0,0.0
4,2,Suroeste,Cas Catalá,1450000.0,168.0,0.0
4,5,Suroeste,Santa Ponsa,7950000.0,640.0,1310.0
4,4,Sureste,Sa Rapita,2900000.0,358.0,17800.0
3,2,Sureste,Sa Rapita,2700000.0,230.0,16400.0
2,2,Suroeste,Cala Fornells,649000.0,87.0,0.0
4,4,Norte,Pollensa,1280000.0,223.0,127.0
