superficie_construida,superficie_parcela,habitaciones,banos,zona,localizacion,precio
500 ㎡,"1,52 ㏊",4.0,6.0,Son Vida & Palma Alrededores,Establiments,5.250.000 EUR
93 ㎡,,3.0,2.0,Central,Alaró,350.000 EUR
159 ㎡,616 ㎡,3.0,2.0,Sur,Cala Pi,1.050.000 EUR
240 ㎡,3.742 ㎡,6.0,4.0,Son Vida & Palma Alrededores,Son Sardina,2.400.000 EUR
260 ㎡,350 ㎡,3.0,4.0,Oeste,Deià,1.500.000 EUR
,2.700 ㎡,,,Central,Alaró,650.000 EUR
520 ㎡,"3,01 ㏊",5.0,5.0,Central,Santa María,6.500.000 EUR
393 ㎡,289 ㎡,4.0,5.0,Central,Sineu,2.590.000 EUR
87 ㎡,,2.0,1.0,Sur,Cala Pi,495.000 EUR
142 ㎡,,3.0,2.0,Palma,Portixol & Molinar,945.000 EUR
668 ㎡,1.522 ㎡,4.0,4.0,Suroeste,Cala Vinyes,3.700.000 EUR
665 ㎡,1.374 ㎡,4.0,4.0,Suroeste,Cala Vinyes,3.800.000 EUR
676 ㎡,1.452 ㎡,4.0,4.0,Suroeste,Cala Vinyes,3.900.000 EUR
624 ㎡,2.000 ㎡,6.0,6.0,Son Vida & Palma Alrededores,Son Vida,7.900.000 EUR
422 ㎡,1.042 ㎡,5.0,4.0,Suroeste,Port Andratx,7.350.000 EUR
94 ㎡,,2.0,2.0,Sur,Arenal,650.000 EUR
126 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,1.495.000 EUR
178 ㎡,390 ㎡,3.0,3.0,Sureste,Cala Murada,980.000 EUR
310 ㎡,220 ㎡,5.0,2.0,Central,Sencelles,639.000 EUR
426 ㎡,616 ㎡,4.0,6.0,Central,Marratxi,1.990.000 EUR
102 ㎡,,2.0,2.0,Noreste,Colonia de St. Pere,1.495.000 EUR
102 ㎡,,3.0,2.0,Palma,Playa de Palma & Arenal,1.595.000 EUR
288 ㎡,981 ㎡,5.0,4.0,Suroeste,Port Andratx,8.000.000 EUR
133 ㎡,8.366 ㎡,2.0,2.0,Sur,Llucmajor,749.000 EUR
264 ㎡,6.358 ㎡,2.0,2.0,Central,Llubí,570.000 EUR
160 ㎡,,2.0,2.0,Palma,La Bonanova,1.800.000 EUR
435 ㎡,303 ㎡,6.0,4.0,Norte,Sa Pobla,1.050.000 EUR
220 ㎡,240 ㎡,5.0,3.0,Central,Maria de la Salut,1.290.000 EUR
256 ㎡,135 ㎡,4.0,3.0,Central,Sineu,350.000 EUR
769 ㎡,2.400 ㎡,7.0,7.0,Suroeste,Costa de la Calma,6.950.000 EUR
131 ㎡,423 ㎡,3.0,2.0,Sur,Tolleric,1.095.000 EUR
670 ㎡,2.500 ㎡,5.0,5.0,Son Vida & Palma Alrededores,Palmanyola,5.600.000 EUR
380 ㎡,820 ㎡,7.0,5.0,Palma,Playa de Palma & Arenal,2.570.000 EUR
100 ㎡,,3.0,2.0,Palma,Son Espanyolet,575.000 EUR
406 ㎡,3.070 ㎡,3.0,4.0,Central,Bunyola,2.850.000 EUR
157 ㎡,580 ㎡,4.0,4.0,Suroeste,Port Andratx,4.250.000 EUR
102 ㎡,,3.0,2.0,Norte,Puerto Pollensa,525.000 EUR
82 ㎡,,2.0,2.0,Palma,Palma Catedral - Casco Antiguo,595.000 EUR
119 ㎡,,3.0,2.0,Suroeste,Santa Ponsa,895.000 EUR
288 ㎡,195 ㎡,3.0,3.0,Central,Pina,1.190.000 EUR
500 ㎡,4 ㏊,6.0,6.0,Noreste,Artá,6.750.000 EUR
116 ㎡,,3.0,2.0,Norte,Puerto Alcudia,418.500 EUR
486 ㎡,304 ㎡,5.0,4.0,Sureste,Felanitx,1.950.000 EUR
150 ㎡,214 ㎡,3.0,3.0,Norte,Campanet,675.000 EUR
115 ㎡,,4.0,2.0,Suroeste,Palmanova,895.000 EUR
411 ㎡,645 ㎡,6.0,5.0,Central,Marratxi,1.095.000 EUR
432 ㎡,387 ㎡,3.0,4.0,Sureste,Cala Figuera,2.950.000 EUR
72 ㎡,,2.0,1.0,Suroeste,Portals,1.095.000 EUR
237 ㎡,761 ㎡,4.0,5.0,Suroeste,Costa d'en Blanes,3.000.000 EUR
370 ㎡,,5.0,3.0,Palma,Palma City Centre,1.600.000 EUR
299 ㎡,881 ㎡,5.0,5.0,Noreste,Font de Sa Cala,2.190.000 EUR
625 ㎡,"232,22 ㏊",,,Suroeste,Calvià,8.500.000 EUR
233 ㎡,,3.0,3.0,Palma,Palma Catedral - Casco Antiguo,3.300.000 EUR
104 ㎡,,2.0,2.0,Suroeste,Santa Ponsa,825.000 EUR
220 ㎡,240 ㎡,3.0,2.0,Central,Biniali,1.400.000 EUR
380 ㎡,1.208 ㎡,4.0,3.0,Suroeste,Santa Ponsa,3.600.000 EUR
146 ㎡,675 ㎡,3.0,2.0,Norte,Alcudia - Bonaire,975.000 EUR
531 ㎡,4.119 ㎡,4.0,3.0,Son Vida & Palma Alrededores,Son Vida,6.950.000 EUR
136 ㎡,,3.0,3.0,Palma,Paseo Marítimo,1.750.000 EUR
52 ㎡,,2.0,1.0,Norte,Alcudia,465.000 EUR
341 ㎡,"1,74 ㏊",4.0,4.0,Central,Montuiri,2.300.000 EUR
159 ㎡,300 ㎡,3.0,2.0,Central,Moscari,495.000 EUR
395 ㎡,368 ㎡,4.0,4.0,Norte,Campanet,2.500.000 EUR
132 ㎡,,5.0,3.0,Norte,Playa de Muro,825.000 EUR
140 ㎡,,4.0,2.0,Palma,Playa de Palma & Arenal,669.000 EUR
220 ㎡,,3.0,4.0,Palma,Palma Catedral - Casco Antiguo,3.650.000 EUR
370 ㎡,3 ㏊,5.0,5.0,Sur,Llucmajor,2.980.000 EUR
92 ㎡,,2.0,2.0,Sur,Cala Pi,365.000 EUR
140 ㎡,770 ㎡,3.0,2.0,Sureste,Cala Murada,1.280.000 EUR
215 ㎡,"1,49 ㏊",3.0,3.0,Norte,Santa Margalida,1.450.000 EUR
160 ㎡,723 ㎡,3.0,2.0,Sur,Bahía Grande / Bahía Azul,695.000 EUR
199 ㎡,163 ㎡,3.0,2.0,Central,Selva,1.535.000 EUR
